item,quantity,component,reference,part_number,supplier_url,verification
controller,1,Jetson AGX Orin 64 GB,system export,,,Recorded host configuration
esp32,2,ESP32 DevKit,Board 01 and Board 02,,,Board family confirmed by project owner; exact SKU unspecified
drive_motor,4,DC gearmotor,Board 02 L298N outputs,,,Exact motor ratings and SKU required
motor_driver,2,L298N dual H-bridge module,Board 02 pin definitions,,,Module variant required
encoder,4,SPI magnetic rotary encoder,Board 01 AS5048 read routine,,,Confirm physical encoder part number
tof,7,VL53L1X distance sensor,Board 01 sensor array,,,Confirm breakout SKU
imu,1,LSM6DSOX,Board 01 Adafruit driver,,,May share breakout with magnetometer
magnetometer,1,LIS3MDL,Board 01 Adafruit driver,,,May share breakout with IMU
oled,1,SSD1306 128x64 I2C display,Board 01 address 0x3C,,,Confirm display SKU
bus_servo,9,STS-protocol bus servo,Board 02 SMS_STS IDs 1-9,,,Confirm model and ratings for each mechanism
sg90,2,SG90 servo,Board 01 distal flap and Board 02 dispenser,,,Confirm physical servo ratings
ldr,1,LDR dispenser sensor,Board 02 GPIO35,,,Divider circuit and resistor values required
rgb,1,RGB indicator,Board 02 GPIO23/15/2,,,LED circuit and resistor values required
camera,2,USB camera,Jetson bottom and overhead cameras,,,Export references Logitech devices; verify exact models
printed_chassis,1 set,3D-printed PLA chassis components,SolidWorks master multibody part,,,Separate part quantities and print settings require export and verification
reinforcement_rod,2,5 mm diameter steel rod,Chassis reinforcement,,,Lengths and material grade require verification
